userID,status,commentBody,ApproveDate,recommendationCount,location,display_name,userComments,times_people,commentSequence,editorsSelection,ArticleRelevance,ConversationalRelevance,PersonalXP,Readability,Brevity,RecommendationScore,latitude,longitude,AVGPersonalXP,AVGReadability,AVGBrevity,AVGRecommendationScore,AVGPicks,AVGcommentspermonth
63984680,approved,"I\'ve been reading \""What\'s the next Silicon Valley?\"" articles since the 1970s, when they used to be \""What\'s the next Silicon Valley / Route 128?\"" articles. All that\'s happened since then is that Route 128 (suburban Boston) lost out badly to Silicon Valley. <br/><br/>The reality is that all the information superhighway hype about how you didn\'t have to live anywhere in particular to do your job turned out backwards. Getting to the top is really about where you live and who you spend time with in person.",1425547472,39,America,Steve Sailer,api.nytimes.com/svc/community/v2/comments/user/id/63984680.xml,1,14319463,0,0.194925033,0,0.010752688,22.9,91,3.663561646,51.447704,5.966069,0.012706799,18.44381737,56.44324667,8.540266328,0.014584654,35.04444444
40255154,approved,"Agreed, Steve Sailer. Note, too, that for all the talk of disruption, Silicon Valley\'s status as the epicenter of tech development has grown over decades from historical roots in the military and electronics industries based there at least since the 1950s. You might even say that Silicon Valley evolved \""organically\"" (irony) which helps explain why cities can\'t become \""the new Silicon Valley\"" by waving a few tax breaks and an ad campaign.",1425553927,33,Philadelphia,Doug Hill,api.nytimes.com/svc/community/v2/comments/user/id/40255154.xml,1,14319878,0,0.297980554,0,0,21.5,74,3.496507561,39.952335,-75.163789,0.024959773,21.34639175,79.74226804,10.16494845,0.041237113,1.141176471
705268,approved,"There is no next Silicon Valley...it\'s like naming the next Wall Street...driving the 101 between SF and SJ is a fantasy--gleaming office buildings with the names of American companies on them that you\'ve never heard of...but I\'ll give 3 answers..1)The Austin Texas model...big state schools, get an anchor company, and develop from there...2)The \""Me Too\"" Model..New York, which will be an epicenter because a lot of money is here, and people just want to live here, and 3)my favorite, the \""American Bangalore\"", which I favor Rochester--places where really good young talent is produced every year and where the economics make more sense than hiring in India",1425570092,3,"Westfield, NJ",Mike,api.nytimes.com/svc/community/v2/comments/user/id/705268.xml,1,14319995,0,0.116270903,0.253861125,0.033057851,25,121,1.098612289,40.658991,-74.347372,0.015387978,19.58333333,79.52777778,4.611111111,0.027777778,0.610169492
11223833,approved,"Salaries in Florida are low, and Orlando salaries are lowest among the major Florida cities.  My son graduated from UCF in Orlando about a decade ago.  The placement office told him that if he wanted to make real money, he would have to leave Florida.  There is a budding start up scene in Orlando and a rapidly growing downtown.  But the reality is that Orlando is a blue collar city that provides an army of low wage workers to support the tourists at the parks and I drive.  If you have a lot of ambition and strong tech skills, there is no reason to stay in Orlando and every reason to go west young man, go west.",1425570103,18,DC,John Smith,api.nytimes.com/svc/community/v2/comments/user/id/11223833.xml,1,14320084,0,0.507652856,0.020759143,0.034188034,23.6,117,2.890371758,38.893715,-76.987793,0.024127529,26.66971609,130.3596215,9.895899054,0.059936909,3.729411765
38130104,approved,"Growing up in Florida I could not wait with my technology skills to leave to go....guess where?  San Francisco and in 1986  I never looked back.  I remembered an article a few years later indicted that for every 10 people who moved to Florida over the age 65, 7 people under the age of 30 moved out. <br/><br/>I recently went to Orlando with my spouse who was attending a conference and I was astounded at how Orlando had grown with massive highways and never ending ugly malls and expanding theme parks.  After a few days there visiting one chain place after another, one ugly mall after another, I realized that Orlando had no soul no vibe other than the sounds of never ending traffic.  No individualism or sense of city spirit beyond marketing tourism for Europeans, South Americans or obese Americans who are there for the magic of discounted malls or a theme park a day.  After a lovely day of doing both they head with excitement to visit their favorite chain restaurant serving predictable plastic food that they can get anywhere in the US.   What a vacation and what a place to live.",1425557226,86,SF,SFjoe,api.nytimes.com/svc/community/v2/comments/user/id/38130104.xml,1,14320141,0,0.324817881,0.282171467,0.050761421,30.8,195,4.454347296,37.779277,-122.41927,0.037256761,29.67058824,157.2941176,23.11764706,0,0.333333333
7890860,approved,California ha a very big advantage in job mobility for workers because employee non-compete agreements are essentially unenforceable.<br/><br/>Here in Massachusetts I and a number of my friends in high tech have been threatened by our previous employers. Some have had to wait for a year to take a job in a related area after quitting a job.,1425558607,31,"lexington, ma",bentsn,api.nytimes.com/svc/community/v2/comments/user/id/7890860.xml,1,14320265,0,0.125099954,0.028312797,0.06557377,14.1,59,3.433987204,42.447318,-71.2245,0.022836716,16.83405573,45.29721362,19.97213622,0.049535604,4.549295775
67432250,approved,I\'m disappointed there is no mention of San Diego. Forbes even named it the top city to bring your start-up for 2014.,1425570107,1,CA,Ryan,api.nytimes.com/svc/community/v2/comments/user/id/67432250.xml,1,14320311,0,0.065004004,0.039537876,0.041666667,12.9,24,0,61.066692,-107.991707,0,12.9,24,1,0,0
3660662,approved,"In regards to Florida\'s comment about Pittsburgh\'s failure to become a high tech hub, I really do not understand his citing \""lifestyle reasons\"" as one of the reasons. The area has consistently been rated as a great place to live and in the 8 yrs. since my return is only getting better.",1425570112,14,"Pittsburgh, PA",Bill S,api.nytimes.com/svc/community/v2/comments/user/id/3660662.xml,1,14320388,0,0.21308277,0.091258892,0.037037037,19.9,54,2.63905733,40.441694,-79.990086,0.033373467,18.42,53,5.8,0,0.087719298
59610530,approved,"Why should anyone desire to be the \""Next Silicon Valley?\"" It\'s reminiscent of all those cities of yore calling themselves \""The Paris of the East\"" instead of capitalizing on their own unique features and identities. <br/><br/>Silicon Valley arose from a unique mix of universities, corporations and venture capital firms, and the fact that all these were in the same geographic area. Instead of trying to mount the impossible task of copying those elements in just the right way, these other cities should be looking at what they already have and finding ways to capitalize on it in ways nobody else can.",1425560167,54,New York,AD,api.nytimes.com/svc/community/v2/comments/user/id/59610530.xml,1,14320420,0,0.182954232,0.234986168,0,29.2,102,3.988984047,40.730599,-73.986581,0.01866507,28.36440678,137.8779661,27.28135593,0.077966102,10.92592593
40343536,approved,Does the NSA data center actually employ a lot of people in Utah??<br/><br/>Looking at the photo I see big big buildings but only 2 relatively small parking lots.  Do they let people work from home?,1425570151,10,usa,seeing with open eyes,api.nytimes.com/svc/community/v2/comments/user/id/40343536.xml,1,14320445,0,0.101726067,0.052042537,0.026315789,12.9,36,2.302585093,39.78373,-100.445882,0.026967228,18.25192074,60.57864941,14.40477153,0.012535382,30.5308642
