UserID,Status_Accepted,commentBody,ApproveDate,RecommendationCount,Location,DisplayName,UserComments,TimesPeople,CommentSequence,EditorsSelection,ArticleRelevance,ConversationalRelevance,PersonalXP,Readability,Brevity,RecommendationScore,Latitude,Longitude,AVGPersonalXP,AVGReadability,AVGBrevity,AVGRecommendationScore,AVGPicks,AVGcommentspermonth
68648238,approved,I am afraid for our future. The founders state that high school students were deemed too immature for their app. It seems to me that their college users are too immature for college. Exaggerated self-importance is for toddlers only.,1425834843,257,NJ,Karen,api.nytimes.com/svc/community/v2/comments/user/id/68648238.xml,1,14351421,0,15.78789611,0,22.50000002,35.18518519,14.44043321,86.39051427,40.075738,-74.404162,40.01746774,11.85327405,6.080406083,4.45971867,0,0.954686303
22181,approved,Because we just don\'t have enough oultets for unfettered nastiness..,1425834847,242,"Nashville, TN",Barry,api.nytimes.com/svc/community/v2/comments/user/id/22181.xml,1,14351424,0,0.120506594,0,27.27272733,23.37962963,3.971119134,85.45425323,36.162226,-86.774342,9.96716161,31.33788857,18.39138764,4.093700621,3.1847134,0.851623577
1614882,approved,"\""Social\"" media alright. Time to hold the developers criminally liable for not enforcing basic standards, and, if anti-abuse policies are in the terms of service agreements, that they be held civilly liable liable by victims.  ",1425834855,41,nowhere I can tell you,Chris,api.nytimes.com/svc/community/v2/comments/user/id/1614882.xml,1,14351427,0,1.82936835,0,0,35.18518519,12.99638989,57.81456151,NA,NA,23.43112112,30.65019812,19.22204176,3.141168084,1.5081967,7.406450788
56328718,approved,"Yik Yak\'s founders say their start-up is just experiencing some growing pains. \""It\'s definitely still a learning process for us,\"" said Mr. Buffington, \""and we\'re definitely still learning how to make the community more constructive.\""<br/><br/>Yeah, or inflicting stupid pains?  What\'s the point?  What exactly is the purpose of Yik Yak---cute name, though.   And the app\'s popular... so, apparently they\'re just serving a market demand.",1425834900,17,Boston,former MA teacher,api.nytimes.com/svc/community/v2/comments/user/id/56328718.xml,1,14351436,0,56.63433912,8.552679452,4.054054204,51.38888889,25.63176895,44.10874064,42.360482,-71.059568,16.15209392,43.29291295,28.19898473,1.489059392,2.7777778,1.748408055
44857210,approved,The use of the app and the content reflect the problems we have as a culture in the US.  The app itself only exposes the deeper issues with how people handle their negative emotions.  ,1425834917,40,"Ann Arbor, MI",DMG,api.nytimes.com/svc/community/v2/comments/user/id/44857210.xml,1,14351445,0,22.84598381,20.77327191,17.64705872,32.63888889,12.27436823,57.4301358,42.268157,-83.731229,28.21587933,50.27818726,34.24593278,2.331879043,0,0.080687266
64888004,approved,"Yik Yak\'s founders don\'t really want to make a more positive community.  It\'s the bad and ugly stuff that attracts eyeballs, just like in the \""real world.\""  It\'s writing on the bathroom wall, except that everyone can see it.",1425834956,161,"Richmond, VA",Kira N.,api.nytimes.com/svc/community/v2/comments/user/id/64888004.xml,1,14351470,0,53.23233347,22.32008516,0,32.63888889,15.5234657,79.10959042,37.538509,-77.43428,50.59662035,15.799053,7.814780975,4.403361345,2.5714286,3.480627146
683439,approved,the internet has been destructive for civil discourse. this is just another nail in the coffin.,1425834960,56,massachusetts,ivehadit,api.nytimes.com/svc/community/v2/comments/user/id/683439.xml,1,14351479,0,1.565231144,0,0,23.37962963,5.776173285,62.66848704,42.378877,-72.032366,16.22121482,30.21871146,15.92328336,2.584167662,2.9010239,2.750086527
11525842,approved,"For a college to block access to a social network app is \""arguably tantamount to curtailing freedom of speech\""? Hardly. It\'s a perfectly reasonable condition of admission.<br/>Oops, I forgot - the secondary school system in America is now concerned primarily with the happiness of its students, with their education coming in a distant second.",1425834972,137,Vancouver WA,Mark,api.nytimes.com/svc/community/v2/comments/user/id/11525842.xml,1,14351503,0,14.71577192,13.79417069,5.357142905,43.98148148,19.85559567,76.59647766,45.630695,-122.674456,20.86065902,27.81649151,15.05056721,2.018222506,1,5.062730394
160272,approved,Breaking: people that can hide behind anonymity say hateful (and stupid) things. ,1425834977,51,Maywood NJ,Eric Goebelbecker,api.nytimes.com/svc/community/v2/comments/user/id/160272.xml,1,14351504,0,7.66428733,3.100197692,0,23.37962963,4.332129964,61.21243127,40.902599,-74.061807,13.21896961,26.80833044,15.42246422,3.799780783,3.5714286,0.412761431
27920024,approved,Perhaps Yik Yak should address the notion of lack of respect some of its users seem to have.  This being a problem fostered by some of our media.  Yik Yak merely allows mass participation in this problem.,1425834984,6,"berkeley, ca",bb,api.nytimes.com/svc/community/v2/comments/user/id/27920024.xml,1,14351508,0,85.352059,33.79322875,8.108108108,37.73148148,13.35740072,27.89491793,37.870839,-122.272864,21.11857652,38.20478742,23.00672175,6.216134207,2.259887,0.880101436
