userID,status,commentBody,approveDate,recommendationCount,location,display_name,userComments,times_people,commentSequence,editorsSelection,ArticleRelevance,ConversationalRelevance,PersonalXP,Readability,Brevity,RecommendationScore
60215558,approved,"This may seem tangential but I think it needs pointing to as it is just as important as the issue on the table here;<br/>The intelligence and perceptiveness shown in this great speech is IMO clear evidence that Mr. Comey is more than capable of comprehending how wrong his policies and ideas about privacy are.<br/><a href=\""http://www.nytimes.com/2014/10/17/us/politics/fbi-director-in-policy-speech-calls-dark-devices-hindrance-to-crime-solving.html\"" title=\""http://www.nytimes.com/2014/10/17/us/politics/fbi-director-in-policy-speech-calls-dark-devices-hindrance-to-crime-solving.html\"" target=\""_blank\"">http://www.nytimes.com/2014/10/17/us/politics/fbi-director-in-policy-spe...</a>",1423762913,3,earth,magicisnotreal,api.nytimes.com/svc/community/v2/comments/user/id/60215558.xml,1,14117900,0,17.01370633,0,12.12121212,57.17539863,19.36619718,17.43104403
69361826,approved,"Any rational person will understand Mr. Comey\'s sane assessment of the dilemma facing both the police and blacks: 96% of all shooting suspects in New York City are either black (75%) or Hispanic (21%). That leaves 4% of shooters who are white. Police, white and black, are not cynical. They\'re realistic. If the Sharptons and De Blasios and Holders of this world want to change things for the better, they should begin with their own constituents, who have shamefully demonstrated their socio-pathology all too often. It doesn\'t matter what its cause or excuse is (and there are plenty of excuses). Black crime rates are nuts! Point the finger of blame at the perps, not the people who are charged with protecting us.",1423762933,152,New York,Dawn Offtime,api.nytimes.com/svc/community/v2/comments/user/id/69361826.xml,1,14117914,0,49.07943927,0,2.91005291,59.68109339,44.01408451,79.71099856
14523611,approved,"GOOD. Let us now have some leadership and dialogue from our nation\'s police leaders about the crisis existing between police and people of color. It\'s all about trust and once trust is lost it will be difficult (though not impossible) for it to be rebuilt. It must start now. Follow my blog \""Improving Police\"" on Wordpress for some ideas on how to move forward! Engage in this necessary dialogue!",1423762947,21,"Madison, WI",Chief David Couper,api.nytimes.com/svc/community/v2/comments/user/id/14523611.xml,1,14117935,0,37.03965801,0,15.49295775,46.46924829,24.64788732,48.30567181
25197243,approved,"\""He said that the police needed to have more interactions with those they are charged to protect. â€œItâ€™s hard to hate up close,â€ù he said.\""<br/><br/>I cannot argue with that. I would go further and suggest that is what policing is all about. Community policing should mean just that, being part of the community - Policing should be far more than just arresting the bad guys, but reassuring the public and being engaging with them.",1423762778,453,"Cambridge, England",AER,api.nytimes.com/svc/community/v2/comments/user/id/25197243.xml,1,14117937,1,100,0,9.523809524,39.17995444,26.05633803,97.03731336
4579722,approved,"FANTASTIC.  Thank you, Mr. Comey, for your frank and compassionate speech.",1423762784,62,Brooklyn,CK Johnson,api.nytimes.com/svc/community/v2/comments/user/id/4579722.xml,1,14117985,0,22.22921547,0,0,14.80637813,3.521126761,65.4828477
70394470,approved,Thanks for opening up about the facts of police inter action with the public.   This should have been said long long ago.  From this it appears you have much more that could be said to help lead this country.,1423762818,9,Waxahachie. tx,louis. Johnson,api.nytimes.com/svc/community/v2/comments/user/id/70394470.xml,0,14118018,0,65.390921,0,0,30.523918,13.38028169,34.86208806
146411,approved,Sounds like a good start to a discussion. ,1423762824,31,TX,Ender,api.nytimes.com/svc/community/v2/comments/user/id/146411.xml,1,14118062,0,11.71514302,0,0,14.80637813,2.464788732,54.48508339
21158409,approved,"Police all over the country are OUT OF CONTROL.  In Pasco, Washington this week police killed in a hail of bullets in a crowded grocery store parking lot an Hispanic man who was throwing rocks!  Police killings in this jurisdiction of 60,000, 4 in the last year, equal all others.  Police are the number one killers in Pasco.",1423771356,7,Las Vegas,Lilly,api.nytimes.com/svc/community/v2/comments/user/id/21158409.xml,1,14118072,0,47.55658672,0,0,39.17995444,20.42253521,30.87462778
27830943,approved,I appreciate Mr. Comey\'s candor.,1423762839,102,Virginia,Daniel Pereira,api.nytimes.com/svc/community/v2/comments/user/id/27830943.xml,1,14118094,0,18.22787043,0,61.11111111,9.567198178,1.76056338,73.38176131
66742458,approved,"If people of a certain profile commit the overwhelming number of crimes then that \""mental shortcut\"" is logical.<br/><br/>As an analogy. there is a reason why auto insurance rates are astronomically high for teenagers, and it is not because insurers hate teenagers but they are at highest risk of getting into accidents.  ",1423762860,87,Philly,RS,api.nytimes.com/svc/community/v2/comments/user/id/66742458.xml,1,14118153,0,14.24392083,0,0,43.0523918,17.95774648,70.85797406
51180606,approved,"Until black communities decide that enough is enough and that they need to self-police their own residents, nothing will change. For the F.B.I director to deliver the message that blacks commit crimes at a higher rate is not breaking news. It\'s simply a fact that black communities and black leaders ignore in favor of blaming police and white society in general. Blacks need to start by accepting fault, starting with the fact that 75% of all black children are born out of wedlock. That statistic has consequences, and the consequences are not good.",1423762876,115,White Plains,Paul,api.nytimes.com/svc/community/v2/comments/user/id/51180606.xml,1,14118160,0,74.30593648,53.54413199,3.780068729,52.84738041,33.8028169,75.28508619
4280462,approved,"Now that\'s a shock.  How did we ever get an intelligent, fair-minded man running the FBI? ",1423762882,114,New Jersey,wwilson553,api.nytimes.com/svc/community/v2/comments/user/id/4280462.xml,1,14118170,0,1.140736324,4.080085341,20.37037037,9.567198178,5.985915493,75.14651396
15030431,approved,"Kudos to Director Comey. It\'s a breath of fresh air to hear honest and unvarnished comments which are so obviously true. The problem is that in the highly charged atmosphere surrounding the issue, we find it difficult to have an honest conversation as one side jumps on anything the other side says. The first thing we need to do is recognize that this isn\'t about \""sides\"" but a very real American societal problem that we need to talk about openly and honestly. Comey\'s comments are a valuable first step.",1423762899,546,Seattle,NJB,api.nytimes.com/svc/community/v2/comments/user/id/15030431.xml,1,14118175,1,20.15777662,5.682759561,11.95652174,52.84738041,32.04225352,100
34079735,approved,"We need to get back to Community Policing where there are dedicated officers who get to know the community and thus are better able to serve and protect.  Also stop the arrests for drug possession. It would also be better if the race of the officers mirrored the community he or she were serving.  I saw a woman being interviewed in Washington, DC years ago after a murder had occurred.  The reporter was asking this traumatized woman some questions and she responded several times \""that people in her community were really scared\"" but the reporter did not \""hear\"" this.  I have often thought about how sad it would be to live in a place in the USA where you had to fear for your safety and felt that no one was there to protect you; including the police. ",1423765369,116,Alberta,Donna,api.nytimes.com/svc/community/v2/comments/user/id/34079735.xml,1,14118237,1,42.28221689,37.65964753,7.971014493,59.68109339,48.23943662,75.42245865
